model,checkpoint,probe_name,epsilon,metric,opd_deepest,deepest_arm,opd_value,nearest_offline_value,opd_minus_nearest_offline_margin,arm_values_json
llama,40,E_general,0.05,entropy_effective_rank_contraction,True,opd,11.457922756671596,4.485202188695384,6.9727205679762125,"{""offkd"": 0.1047218660908398, ""opd"": 11.457922756671596, ""seqkd"": -1.5868075348326038, ""sft"": 4.485202188695384}"
llama,40,E_if,0.05,absolute_contraction,True,opd,21.428571428571427,7.714285714285714,13.714285714285712,"{""offkd"": 7.428571428571429, ""opd"": 21.428571428571427, ""seqkd"": 6.428571428571429, ""sft"": 7.714285714285714}"
llama,40,E_if,0.05,stable_rank_contraction,True,opd,0.29875853876846964,0.11884858496837133,0.1799099538000983,"{""offkd"": 0.021438559435157982, ""opd"": 0.29875853876846964, ""seqkd"": -0.004380197397657826, ""sft"": 0.11884858496837133}"
llama,40,E_if,0.05,entropy_effective_rank_contraction,True,opd,14.669989618729058,6.276977934284907,8.39301168444415,"{""offkd"": 3.458551272764398, ""opd"": 14.669989618729058, ""seqkd"": 3.0093432671215936, ""sft"": 6.276977934284907}"
llama,40,E_math,0.05,absolute_contraction,True,opd,13.428571428571429,5.0,8.428571428571429,"{""offkd"": 1.2857142857142858, ""opd"": 13.428571428571429, ""seqkd"": 0.14285714285714285, ""sft"": 5.0}"
llama,40,E_math,0.05,stable_rank_contraction,True,opd,0.33901551041378264,0.1618339578789417,0.17718155253484094,"{""offkd"": 0.03187731939358437, ""opd"": 0.33901551041378264, ""seqkd"": 0.008699604403868997, ""sft"": 0.1618339578789417}"
llama,40,E_math,0.05,entropy_effective_rank_contraction,True,opd,8.435200346076938,3.780662033327911,4.654538312749027,"{""offkd"": 0.4056322867850267, ""opd"": 8.435200346076938, ""seqkd"": -0.24448029211174166, ""sft"": 3.780662033327911}"
llama,40,E_ood,0.05,absolute_contraction,True,opd,20.285714285714285,5.857142857142857,14.428571428571427,"{""offkd"": 4.714285714285714, ""opd"": 20.285714285714285, ""seqkd"": 2.857142857142857, ""sft"": 5.857142857142857}"
llama,40,E_ood,0.05,stable_rank_contraction,True,opd,0.32361049767707284,0.11574671529168416,0.20786378238538866,"{""offkd"": 0.07442094949818553, ""opd"": 0.32361049767707284, ""seqkd"": 0.054469035627744126, ""sft"": 0.11574671529168416}"
llama,40,E_ood,0.05,entropy_effective_rank_contraction,True,opd,12.747061222493913,3.96525324894913,8.781807973544783,"{""offkd"": 2.3809222597586603, ""opd"": 12.747061222493913, ""seqkd"": 1.621315380375623, ""sft"": 3.96525324894913}"
llama,80,E_general,0.05,absolute_contraction,True,opd,13.0,5.142857142857143,7.857142857142857,"{""offkd"": 2.0, ""opd"": 13.0, ""seqkd"": -0.42857142857142855, ""sft"": 5.142857142857143}"
llama,80,E_general,0.05,stable_rank_contraction,True,opd,0.4660705187134438,0.28196498083700794,0.18410553787643585,"{""offkd"": 0.0931373186529852, ""opd"": 0.4660705187134438, ""seqkd"": 0.021685277397448015, ""sft"": 0.28196498083700794}"
llama,80,E_general,0.05,entropy_effective_rank_contraction,True,opd,12.145447578346605,6.28488449880233,5.860563079544275,"{""offkd"": 0.7869667154330345, ""opd"": 12.145447578346605, ""seqkd"": -1.264027255066908, ""sft"": 6.28488449880233}"
llama,80,E_if,0.05,absolute_contraction,True,opd,23.857142857142858,13.0,10.857142857142858,"{""offkd"": 9.142857142857142, ""opd"": 23.857142857142858, ""seqkd"": 5.857142857142857, ""sft"": 13.0}"
llama,80,E_if,0.05,stable_rank_contraction,True,opd,0.2819088202206986,0.18546147550820785,0.09644734471249072,"{""offkd"": 0.06383933171962582, ""opd"": 0.2819088202206986, ""seqkd"": 0.020622716772767977, ""sft"": 0.18546147550820785}"
llama,80,E_if,0.05,entropy_effective_rank_contraction,True,opd,15.339520339339895,9.864658351062634,5.474861988277262,"{""offkd"": 5.025072744124544, ""opd"": 15.339520339339895, ""seqkd"": 3.503050010682347, ""sft"": 9.864658351062634}"
llama,80,E_math,0.05,absolute_contraction,True,opd,14.0,8.142857142857142,5.857142857142858,"{""offkd"": 3.2857142857142856, ""opd"": 14.0, ""seqkd"": 1.0, ""sft"": 8.142857142857142}"
llama,80,E_math,0.05,stable_rank_contraction,True,opd,0.3213009828002367,0.25839104331336105,0.06290993948687568,"{""offkd"": 0.10822261462918334, ""opd"": 0.3213009828002367, ""seqkd"": 0.0882039210954196, ""sft"": 0.25839104331336105}"
llama,80,E_math,0.05,entropy_effective_rank_contraction,True,opd,8.411373096471188,6.054543202883884,2.356829893587304,"{""offkd"": 1.9332003114631051, ""opd"": 8.411373096471188, ""seqkd"": 1.102743194868952, ""sft"": 6.054543202883884}"
llama,80,E_ood,0.05,absolute_contraction,True,opd,24.714285714285715,9.571428571428571,15.142857142857144,"{""offkd"": 7.428571428571429, ""opd"": 24.714285714285715, ""seqkd"": 4.428571428571429, ""sft"": 9.571428571428571}"
llama,80,E_ood,0.05,stable_rank_contraction,True,opd,0.3886431110044346,0.2063783002852073,0.18226481071922732,"{""offkd"": 0.1463777152961612, ""opd"": 0.3886431110044346, ""seqkd"": 0.12730283153561378, ""sft"": 0.2063783002852073}"
llama,80,E_ood,0.05,entropy_effective_rank_contraction,True,opd,15.164237103696623,7.319774388871598,7.844462714825025,"{""offkd"": 4.975462889470604, ""opd"": 15.164237103696623, ""seqkd"": 3.697940556049871, ""sft"": 7.319774388871598}"
llama,20,E_general,0.1,absolute_contraction,True,opd,7.857142857142857,2.7142857142857144,5.142857142857142,"{""offkd"": 0.5714285714285714, ""opd"": 7.857142857142857, ""seqkd"": -0.2857142857142857, ""sft"": 2.7142857142857144}"
llama,20,E_general,0.1,stable_rank_contraction,True,opd,0.5002475293931747,0.14665406635594044,0.35359346303723427,"{""offkd"": 0.043315018039799265, ""opd"": 0.5002475293931747, ""seqkd"": -0.001484718717614226, ""sft"": 0.14665406635594044}"
llama,20,E_general,0.1,entropy_effective_rank_contraction,True,opd,11.30931078277323,3.3674075545521895,7.94190322822104,"{""offkd"": 0.25196058623098977, ""opd"": 11.30931078277323, ""seqkd"": -0.7636735651308787, ""sft"": 3.3674075545521895}"
llama,20,E_if,0.1,absolute_contraction,True,opd,12.857142857142858,6.0,6.857142857142858,"{""offkd"": 6.0, ""opd"": 12.857142857142858, ""seqkd"": 5.571428571428571, ""sft"": 5.428571428571429}"
