model,arm,checkpoint,probe_name,layer,epsilon,module_count,displacement_rank,stable_rank,entropy_effective_rank,top1_energy_share,top10_energy_share,tail_at_r,two_sided_tail_margin
llama,offkd,40,E_ood,14,0.1,7,7.0,1.3304175355796724,3.533912619252758,0.7558425662407694,0.9306841478454027,0.09340835997681034,0.002527375311722557
llama,offkd,80,E_general,14,0.01,7,27.571428571428573,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.008628774137119743,0.0006974944873563429
llama,offkd,80,E_general,14,0.025,7,22.857142857142858,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.02308786834241307,0.0010930408987015715
llama,offkd,80,E_general,14,0.05,7,17.571428571428573,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.04718163564696453,0.001331312537857857
llama,offkd,80,E_general,14,0.1,7,11.285714285714286,1.6230290655869895,5.890197720174446,0.6432067994007696,0.8826618323375193,0.0949909177498214,0.0033838447421735856
llama,offkd,80,E_if,14,0.01,7,25.142857142857142,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.009176152080514158,0.0005656660052195428
llama,offkd,80,E_if,14,0.025,7,19.285714285714285,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.023175457414725025,0.0009316163129545429
llama,offkd,80,E_if,14,0.05,7,13.428571428571429,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.046965122398896615,0.000989347744934343
llama,offkd,80,E_if,14,0.1,7,7.428571428571429,1.5131170851689428,4.205238068181241,0.7282552695414743,0.9214108902580916,0.09114912496110959,0.006386990929401029
llama,offkd,80,E_math,14,0.01,7,23.0,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.009298324712979256,0.0004447260988865676
llama,offkd,80,E_math,14,0.025,7,16.571428571428573,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.023616602996627656,0.0006089671686970781
llama,offkd,80,E_math,14,0.05,7,10.857142857142858,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.04757954772327551,0.001967732856475814
llama,offkd,80,E_math,14,0.1,7,5.857142857142857,1.2880176703708526,3.203855257501482,0.7869546450062268,0.941393174132391,0.08763372884856654,0.0094048647549318
llama,offkd,80,E_ood,14,0.01,7,24.714285714285715,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.009061370657559914,0.000428949577030359
llama,offkd,80,E_ood,14,0.025,7,18.714285714285715,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.02269003654916124,0.0007760119720529858
llama,offkd,80,E_ood,14,0.05,7,12.571428571428571,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.04695606488737693,0.0017000653175365857
llama,offkd,80,E_ood,14,0.1,7,6.714285714285714,1.3282524479244102,3.5345592265932355,0.7620556162938755,0.9314945594071568,0.09205664118889863,0.007658279815954942
llama,opd,20,E_general,14,0.01,7,19.857142857142858,1.199140761031307,2.468707946818281,0.8456489685639396,0.9626349873209207,0.009272240253478786,0.00028916291507319623
llama,opd,20,E_general,14,0.025,7,12.428571428571429,1.199140761031307,2.468707946818281,0.8456489685639396,0.9626349873209207,0.023666839484190173,0.0008802656741140571
llama,opd,20,E_general,14,0.05,7,7.285714285714286,1.199140761031307,2.468707946818281,0.8456489685639396,0.9626349873209207,0.04652763774744289,0.002251113649125014
llama,opd,20,E_general,14,0.1,7,3.4285714285714284,1.199140761031307,2.468707946818281,0.8456489685639396,0.9626349873209207,0.08450314092885351,0.013661903985666456
llama,opd,20,E_if,14,0.01,7,15.428571428571429,1.1328866701474138,1.9565970682951261,0.8895321637918848,0.9752857534279821,0.0093123702693987,0.00040968581684611426
llama,opd,20,E_if,14,0.025,7,8.857142857142858,1.1328866701474138,1.9565970682951261,0.8895321637918848,0.9752857534279821,0.022821168014952986,0.0008025596995478428
llama,opd,20,E_if,14,0.05,7,4.857142857142857,1.1328866701474138,1.9565970682951261,0.8895321637918848,0.9752857534279821,0.042159411251404134,0.006359904583556871
llama,opd,20,E_if,14,0.1,7,2.5714285714285716,1.1328866701474138,1.9565970682951261,0.8895321637918848,0.9752857534279821,0.0624382808703376,0.03328267413253087
llama,opd,20,E_math,14,0.01,7,9.714285714285714,1.0588308431836242,1.4296060146826635,0.9458114610489815,0.9887904694875136,0.009023684612325115,0.0005498722876581428
llama,opd,20,E_math,14,0.025,7,4.571428571428571,1.0588308431836242,1.4296060146826635,0.9458114610489815,0.9887904694875136,0.021086918913928773,0.0028067941913581737
