model,arm,checkpoint,probe_name,layer,epsilon,module_count,centered_state_rank,centered_state_rank_base,centered_absolute_contraction,centered_relative_contraction_equal7,uncentered_state_rank,uncentered_state_rank_base,uncentered_absolute_contraction,uncentered_relative_contraction_equal7
llama,offkd,80,E_general,14,0.05,7,988.5714285714286,990.2857142857143,1.7142857142857142,0.004403481555195318,774.2857142857143,776.2857142857143,2.0,0.007720666772654827
llama,offkd,80,E_general,14,0.1,7,677.7142857142857,679.1428571428571,1.4285714285714286,0.00593726303504908,516.1428571428571,517.2857142857143,1.1428571428571428,0.007438400490567483
llama,offkd,80,E_if,14,0.01,7,1536.4285714285713,1543.7142857142858,7.285714285714286,0.005879510021037798,1309.857142857143,1319.857142857143,10.0,0.009670737821255862
llama,offkd,80,E_if,14,0.025,7,1192.142857142857,1200.5714285714287,8.428571428571429,0.00865801303716399,956.5714285714286,966.7142857142857,10.142857142857142,0.014282424091292973
llama,offkd,80,E_if,14,0.05,7,893.2857142857143,902.2857142857143,9.0,0.012292148905333282,682.1428571428571,691.2857142857143,9.142857142857142,0.01990453573339992
llama,offkd,80,E_if,14,0.1,7,585.2857142857143,593.1428571428571,7.857142857142857,0.015716488589056984,428.85714285714283,435.7142857142857,6.857142857142857,0.019038469257869985
llama,offkd,80,E_math,14,0.01,7,831.4285714285714,835.1428571428571,3.7142857142857144,0.005672211398452053,696.8571428571429,701.7142857142857,4.857142857142857,0.009001307383896557
llama,offkd,80,E_math,14,0.025,7,620.7142857142857,624.0,3.2857142857142856,0.007060058857196416,491.2857142857143,495.14285714285717,3.857142857142857,0.011012906060548123
llama,offkd,80,E_math,14,0.05,7,455.7142857142857,459.2857142857143,3.5714285714285716,0.010617719096315438,342.14285714285717,345.42857142857144,3.2857142857142856,0.016262713000099287
llama,offkd,80,E_math,14,0.1,7,298.0,300.42857142857144,2.4285714285714284,0.011188132856266178,211.42857142857142,213.14285714285714,1.7142857142857142,0.01162356129525606
llama,offkd,80,E_ood,14,0.01,7,1558.7142857142858,1565.7142857142858,7.0,0.005978767669043013,1335.2857142857142,1343.5714285714287,8.285714285714286,0.008765339522474646
llama,offkd,80,E_ood,14,0.025,7,1217.2857142857142,1225.2857142857142,8.0,0.0086664228901659,984.2857142857143,992.7142857142857,8.428571428571429,0.013149355357549191
llama,offkd,80,E_ood,14,0.05,7,919.8571428571429,928.0,8.142857142857142,0.012076948638787319,710.0,717.4285714285714,7.428571428571429,0.018419742115253043
llama,offkd,80,E_ood,14,0.1,7,609.8571428571429,616.8571428571429,7.0,0.01593199321590536,456.14285714285717,461.85714285714283,5.714285714285714,0.01800263994605607
llama,opd,20,E_general,14,0.01,7,1602.857142857143,1609.7142857142858,6.857142857142857,0.004155101879719793,1384.142857142857,1393.7142857142858,9.571428571428571,0.007208302114321107
llama,opd,20,E_general,14,0.025,7,1274.142857142857,1281.4285714285713,7.285714285714286,0.005483728583421039,1040.7142857142858,1050.7142857142858,10.0,0.011032751632550965
llama,opd,20,E_general,14,0.05,7,982.7142857142857,990.2857142857143,7.571428571428571,0.007503666413195016,767.2857142857143,776.2857142857143,9.0,0.013745652552915944
